ResponseId,bot_score,final_vote,vote_label,raw_score,effective_weight
R_7scU6ZHPgTopF4D,-1.0,-1,human,-0.660436,0.6604
R_7eaAMd6d84YWxKE,-1.0,-1,human,-0.656114,0.6561
R_1CgYV3ttjAdP8uR,-1.0,-1,human,-0.597639,0.5976
R_7uGieWKBEcdckMN,-1.0,-1,human,-0.624877,0.6249
R_7QRuGpr4EQtAe6K,-1.0,-1,human,-0.610606,0.6106
R_5aFa0Za5EPWipnC,-0.9164,-1,human,-0.594524,0.6488
R_108mwXueTq9yg8s,-0.9162,-1,human,-0.593293,0.6475
R_6QgTO2THeNNgbnC,-1.0,-1,human,-0.658925,0.6589
R_3OkK5PG8F7Yngjz,-0.9164,-1,human,-0.594524,0.6488
R_1Ymih96GGEhrHln,-1.0,-1,human,-0.658147,0.6581
R_58iUdg4HEMShO5X,-1.0,-1,human,-0.647799,0.6478
R_7p5bWq5ePeOtPDF,-0.9151,-1,human,-0.584811,0.639
R_57La5TLabu9lCgN,-1.0,-1,human,-0.661058,0.6611
R_38NVjMStL4BnSP7,-1.0,-1,human,-0.648316,0.6483
R_37xJOknRrP7Unf8,-0.8425,-1,human,-0.529003,0.6279
R_6Jhg2Dlsqil5CPT,-1.0,-1,human,-0.655268,0.6553
R_1GvTdP9W0mEipMg,-1.0,-1,human,-0.661891,0.6619
R_7WUWZD8Sg5adPSu,-1.0,-1,human,-0.65241,0.6524
R_5EALrkLBZzgFLkc,-1.0,-1,human,-0.661891,0.6619
R_7WPC66hyTTbYdfO,-0.8768,-1,human,-0.572916,0.6534
R_6rmwkEDvFm9wP0R,-1.0,-1,human,-0.658925,0.6589
R_1soiSl2o1ygiUTT,-0.9143,-1,human,-0.578418,0.6327
R_62Pq8k18o9buKGd,-1.0,-1,human,-0.657762,0.6578
R_5kO15iy6ECzzmVF,-1.0,-1,human,-0.568317,0.5683
R_148UJ5yblVkwjNW,-1.0,-1,human,-0.66,0.66
R_6VJx69sqLoxHxU5,-1.0,-1,human,-0.638043,0.638
R_61iLyLacmeHIR4S,-0.9164,-1,human,-0.594524,0.6488
R_79mrUuzgLNUXU1H,-0.9164,-1,human,-0.594524,0.6488
R_37EfBvwXBxPDD8M,0.0273,1,bot,0.012365,0.453
R_7FAPH29zngsi0FP,-1.0,-1,human,-0.657438,0.6574
R_7nqlN9rwInfmQpD,-0.9227,-1,human,-0.581274,0.63
R_3LiH9fYrpahgfvY,-1.0,-1,human,-0.6302,0.6302
R_66qNuLOMVNbc4NP,-1.0,-1,human,-0.658925,0.6589
R_1rOH6VLQywTHys9,-0.9164,-1,human,-0.594524,0.6488
R_6rw7okdNnif8WOs,-1.0,-1,human,-0.55984,0.5598
R_7Ceb71cpZqaajH8,-0.8734,-1,human,-0.555284,0.6358
R_3qWkCUshAnguaOe,-1.0,-1,human,-0.646,0.646
R_5d5dKk30osvlWZo,-0.9164,-1,human,-0.594524,0.6488
R_7kiVvQlRscrAC83,-1.0,-1,human,-0.661891,0.6619
R_3dGq2OBYF16e6OW,-1.0,-1,human,-0.658925,0.6589
R_7AR1MjXrvmeALrO,-1.0,-1,human,-0.661468,0.6615
R_5C2QqAQPQ5ibVoG,1.0,1,bot,0.024875,0.0249
R_5OY2aLyv68V5TKF,1.0,1,bot,0.024875,0.0249
R_52teitxjtDDQoU7,1.0,1,bot,0.024875,0.0249
R_1LipYCtebjZpFny,-1.0,-1,human,-0.658925,0.6589
R_5ainF3EjKGAJVFD,-1.0,-1,human,-0.642666,0.6427
R_3E031ZopnasAJbt,-1.0,-1,human,-0.660871,0.6609
R_3n3B6dgJRqX7Dnm,-1.0,-1,human,-0.658925,0.6589
R_60mQpkSaA5y1prH,-0.8784,-1,human,-0.58139,0.6619
R_6zY0CxVwTsVFz6n,-1.0,-1,human,-0.661891,0.6619
R_6Frixjy9UJ0XiVK,-1.0,-1,human,-0.659304,0.6593
R_7qeqbm0vZNOotH3,-1.0,-1,human,-0.658925,0.6589
R_3dEoJlVu5hSwPdk,-1.0,-1,human,-0.661891,0.6619
R_3yejq9J0mSm9wqR,-1.0,-1,human,-0.661891,0.6619
R_3G0SqsELRFt2DkS,1.0,1,bot,0.024875,0.0249
R_3QuPKd1thWktaNb,-1.0,-1,human,-0.6403,0.6403
R_1Gy6DxkMpafw5Kk,-0.9163,-1,human,-0.593678,0.6479
R_7v9bcmWjMKFqumW,-1.0,-1,human,-0.661891,0.6619
R_7fgmtel6U6QWcE1,-0.9157,-1,human,-0.589176,0.6434
R_7lBKS9kwhteLsS5,-0.9156,-1,human,-0.588554,0.6428
R_1XgPOEqTIR5sfBf,-1.0,-1,human,-0.658968,0.659
R_3joCjHsoCIGfNAs,-1.0,-1,human,-0.654323,0.6543
R_7guwpsRUxbc5Nm1,-1.0,-1,human,-0.661891,0.6619
R_7qPsC6z4BGfu2gP,-1.0,-1,human,-0.658925,0.6589
R_3ALTHbkKRFiQuuR,-0.9159,-1,human,-0.59088,0.6451
R_7E9KGEtoOsjaIAt,-1.0,-1,human,-0.661891,0.6619
R_7OIh547fSbQB2kn,-1.0,-1,human,-0.658925,0.6589
R_7wywpKcmZdhDmIp,-0.826,-1,human,-0.503312,0.6093
R_7Fj6xc4OW4O1aKJ,-0.916,-1,human,-0.591763,0.646
R_6HZaAmzaK8NH6Kt,-1.0,-1,human,-0.658925,0.6589
R_1gc0HqTKVq3nwiZ,-0.8181,-1,human,-0.444613,0.5435
R_1mmyR4jT8bf1DQ8,-1.0,-1,human,-0.661891,0.6619
R_7V6rpr5cJC77Fhn,-1.0,-1,human,-0.661891,0.6619
R_7PAl1YLRsGFSRVD,-1.0,-1,human,-0.654677,0.6547
R_7J9JoIMkUqkvDPk,-0.9034,-1,human,-0.507299,0.5615
R_1rTC1fCQrnXjO6N,-1.0,-1,human,-0.655065,0.6551
R_7HIkTYNskONjk8T,-0.9164,-1,human,-0.594524,0.6488
R_1B6k066uCyBQj9D,-1.0,-1,human,-0.657557,0.6576
R_7YE9Bwe24YhpjHx,-0.9164,-1,human,-0.594524,0.6488
R_3SsfUf4BhuJqYM1,-1.0,-1,human,-0.658925,0.6589
R_1cRPrQm5iFABkQO,-0.9152,-1,human,-0.585146,0.6394
R_32QIRgwlFaOjtaG,-1.0,-1,human,-0.646021,0.646
R_1SA1SbUl8ZHJfln,-0.4568,-1,human,-0.275486,0.6031
R_5tvYOfgYTYg3FAd,-1.0,-1,human,-0.661891,0.6619
R_7YpCPTmo6UbVmV3,-0.8764,-1,human,-0.570644,0.6511
R_6TM2oXDPZ99UhBe,-0.8784,-1,human,-0.58139,0.6619
R_3KqBGQ7dzroaE0g,-1.0,-1,human,-0.593373,0.5934
R_3iHYU40dzo3YV6y,-0.9153,-1,human,-0.58605,0.6403
R_7rN4MvdtxiSO6WP,-1.0,-1,human,-0.661891,0.6619
R_7k2lLZreO5Y0Wph,-0.9129,-1,human,-0.568226,0.6225
R_7aYor7mdupZDAHv,-0.9162,-1,human,-0.593305,0.6475
R_1FyvHPW3xA57j2Z,-1.0,-1,human,-0.654304,0.6543
R_1DGOfk2GKegQhQ6,-1.0,-1,human,-0.658471,0.6585
R_6Tn0DqZGT7kZVoL,-1.0,-1,human,-0.661891,0.6619
R_3IK0rEkY3S6AwOS,-0.8784,-1,human,-0.58139,0.6619
R_6Onmq6W05EtIWsN,-1.0,-1,human,-0.65714,0.6571
R_3NgUFegiVcVtP5D,-1.0,-1,human,-0.637974,0.638
R_7yrxo0oAVHkggzY,-0.4568,-1,human,-0.275486,0.6031
R_5WIqVnY0sG2R393,-1.0,-1,human,-0.658925,0.6589
R_7r7vrxa7kgVsjkZ,-1.0,-1,human,-0.545705,0.5457
R_5fHS9LPLHpSmXjX,-1.0,-1,human,-0.546949,0.5469
R_5wuIbdVsxePHcTn,-1.0,-1,human,-0.645555,0.6456
R_54bD95OuI1CHzzA,-0.9164,-1,human,-0.594524,0.6488
R_74G1wjxeHIm0NG1,-0.9159,-1,human,-0.590407,0.6446
R_3iDO6e5cHRxMLS6,-0.9101,-1,human,-0.549325,0.6036
R_6I6ZaHTp7PxGqeB,-1.0,-1,human,-0.658925,0.6589
R_3hWsyp9G5v0lHhc,-1.0,-1,human,-0.661891,0.6619
R_3y3Eho3rMBza13j,-0.9154,-1,human,-0.586788,0.641
R_5ODIE0JO3Y9EO7h,-1.0,-1,human,-0.652476,0.6525
R_3OdnglmmRWcNC28,-0.471,-1,human,-0.322584,0.6848
R_7WPiJcECdMmfIBQ,-0.9059,-1,human,-0.52225,0.5765
R_6DCErj5mlKTQa3y,-0.8775,-1,human,-0.576713,0.6572
R_3GEpjY4oYI1dqFj,-1.0,-1,human,-0.659752,0.6598
R_6sYnMwKrGBjlt3d,-1.0,-1,human,-0.629883,0.6299
R_7QtEVAFjVuhdVgi,-1.0,-1,human,-0.632544,0.6325
R_3MPQ1rLY6r5fwLE,-1.0,-1,human,-0.658925,0.6589
R_5ziVyCiPVSJA3V7,-1.0,-1,human,-0.632495,0.6325
R_6xPI8rTqUXe6T0w,-1.0,-1,human,-0.573596,0.5736
R_6YMmB7Ko7m1iPQ5,-1.0,-1,human,-0.571463,0.5715
R_6GBRsS3FyMNcjrF,-0.5221,-1,human,-0.249995,0.4788
R_3HmZxBLYSxryAKR,-1.0,-1,human,-0.661891,0.6619
R_5Iw0X9aZD9UM5Tb,-1.0,-1,human,-0.66005,0.6601
R_1ir8BoKhYjgWWqd,-0.9704,-1,human,-0.555048,0.572
R_7xRwGOPe4zaoR0Z,-1.0,-1,human,-0.517206,0.5172
R_5FA1syQr2qViDAU,-1.0,-1,human,-0.644596,0.6446
R_3GU1eGC9GB2Mvl4,-1.0,-1,human,-0.554262,0.5543
R_3EgBe7fFnJgQ0XY,-0.8784,-1,human,-0.58139,0.6619
R_3RRoZi2s9hetls8,-1.0,-1,human,-0.642154,0.6422
R_62txAkeQuo1fUGf,-1.0,-1,human,-0.658925,0.6589
R_5qQXUI7zWMzuNLH,-0.4475,-1,human,-0.2654,0.5931
R_6iiXyl67bVzYeop,-1.0,-1,human,-0.652532,0.6525
R_3rqLuqV1q9A9U8V,-1.0,-1,human,-0.654155,0.6542
R_6Eg79AdRO49nwQC,-1.0,-1,human,-0.637088,0.6371
R_3IooZYhmRneowLL,-1.0,-1,human,-0.652351,0.6524
R_7eX6Rl9WDd3oWgV,-1.0,-1,human,-0.645809,0.6458
R_5s8ZGayT1lnLaSZ,-1.0,-1,human,-0.647768,0.6478
R_7pKdY15bvRRo37A,-0.9164,-1,human,-0.594524,0.6488
R_3FroatgZ7li1GJL,-1.0,-1,human,-0.661891,0.6619
R_6QXJB89ahssTC1q,-1.0,-1,human,-0.558643,0.5586
R_61soaCZJLxuEk7n,-1.0,-1,human,-0.625473,0.6255
R_6KOwYAXOWENIH0d,-0.471,-1,human,-0.322527,0.6848
R_58LCuUeIe6LT1pp,-0.855,-1,human,-0.474543,0.555
R_1QWeQV31Ks1Q0b5,-1.0,-1,human,-0.535587,0.5356
R_5QFRrz1PpCh62pJ,-1.0,-1,human,-0.650958,0.651
R_6nVOYo0aMfTgeWZ,-1.0,-1,human,-0.572178,0.5722
R_7wyHQ21sC2fV6xj,-1.0,-1,human,-0.647901,0.6479
R_6NoOxw8Mpufd9ux,-1.0,-1,human,-0.631773,0.6318
R_1xUdTbKAK8UJXBn,-0.9444,-1,human,-0.540082,0.5719
R_5YR2FnoLY9oBspe,-0.9155,-1,human,-0.587549,0.6418
R_5F8TJlAPJQEjcOy,-1.0,-1,human,-0.655971,0.656
R_64tYHtkCI39hKlr,-1.0,-1,human,-0.561619,0.5616
R_1wH22HB6WOMyh4B,-0.9164,-1,human,-0.594524,0.6488
R_72PjSc5DEWDlQ4W,-1.0,-1,human,-0.551315,0.5513
R_1G013hPFIX4DTY5,-1.0,-1,human,-0.572414,0.5724
R_1sTROUeVJlIA0kw,-0.877,-1,human,-0.57389,0.6544
R_58SRWLG4MPU3Uzs,-0.778,-1,human,-0.475085,0.6107
R_3EzKk94G2ahRJig,-1.0,-1,human,-0.653477,0.6535
R_5hm4KEzbsXd3hRV,-1.0,-1,human,-0.567087,0.5671
R_6zI3SQP14r1uSEW,-1.0,-1,human,-0.566892,0.5669
R_5pmv9wykPh3yXDd,-1.0,-1,human,-0.661891,0.6619
R_3BN9fiaDZGg9nZT,-1.0,-1,human,-0.569467,0.5695
R_5P2dQDKldW1rFMv,-1.0,-1,human,-0.555854,0.5559
R_56gRWDOu9oFsQV3,-1.0,-1,human,-0.657744,0.6577
R_5QB29BkCV3dFPup,-0.9022,-1,human,-0.500384,0.5546
R_3Qxp0B2gMkb9PlD,-1.0,-1,human,-0.543942,0.5439
R_59ukpNLzXh6kue4,-1.0,-1,human,-0.661891,0.6619
R_1CSaAsrYNlUmjwl,-1.0,-1,human,-0.661891,0.6619
R_3nT1cKnoa5B8fPb,-0.871,-1,human,-0.543564,0.6241
R_7HBOgKjIfqtH74f,-1.0,-1,human,-0.661891,0.6619
R_7A3RisG2l0bYl0J,-0.9164,-1,human,-0.594524,0.6488
R_6lhHgSpQ7NDA91r,-1.0,-1,human,-0.650647,0.6506
R_36bYRFdYWIR1oEK,-1.0,-1,human,-0.638491,0.6385
R_3Av4H7SvY0hPJkd,-1.0,-1,human,-0.655312,0.6553
R_5K9WFv84tAKauaw,-1.0,-1,human,-0.558524,0.5585
R_6ypASnqUACpBqm9,-1.0,-1,human,-0.652003,0.652
R_10xi7iWONxJQg8m,-1.0,-1,human,-0.616606,0.6166
R_5IFQG47YPblMZ1L,-0.8216,-1,human,-0.484414,0.5896
R_12tb7SzHLvfDCnz,-1.0,-1,human,-0.661891,0.6619
R_1IQKlnTWJ3Rp6cm,-1.0,-1,human,-0.632784,0.6328
R_3EuNcUYpO21eMh6,-1.0,-1,human,-0.63321,0.6332
R_71LE0Z06xup64A7,-1.0,-1,human,-0.566979,0.567
R_6dhGP3HlCMLWn4q,-0.872,-1,human,-0.548194,0.6287
R_6hmZPx6Nhl7VMeu,-1.0,-1,human,-0.661891,0.6619
R_3HoRWTFdcXzmxsT,-0.9145,-1,human,-0.580401,0.6346
R_7sWOpJ5j5wi7I9F,-1.0,-1,human,-0.64908,0.6491
R_697MzahNZ8nzDbP,-0.9163,-1,human,-0.593355,0.6476
R_7FY8kXby7ubd0dz,-1.0,-1,human,-0.572713,0.5727
R_5GFAbrCb0YS6sgh,-0.9145,-1,human,-0.580109,0.6343
R_5N0vrdxYSHLCUs9,-1.0,-1,human,-0.572414,0.5724
R_3EndbCQVXzPUrX4,-1.0,-1,human,-0.652812,0.6528
R_3sjEIIBkdZKUHip,-1.0,-1,human,-0.661891,0.6619
R_7exEPA9k4pZh1H0,-1.0,-1,human,-0.641446,0.6414
R_1uR6rbMzYimEaIk,-1.0,-1,human,-0.555407,0.5554
R_3lEvwBfiHIXW3Vo,-0.9449,-1,human,-0.544647,0.5764
R_5EykIiH7CEevihv,-1.0,-1,human,-0.661891,0.6619
R_5hyalsngdKk81gO,-1.0,-1,human,-0.592564,0.5926
R_7EaTDCY0b1JnDC9,-0.8557,-1,human,-0.477487,0.558
R_5OhRyjxHBPbRko9,-1.0,-1,human,-0.643456,0.6435
R_5phBwwdN0TrZdhT,-1.0,-1,human,-0.549785,0.5498
R_1DLA8KIx00nCnfH,-1.0,-1,human,-0.562757,0.5628
R_3q3ffxzmaLP3U4E,-1.0,-1,human,-0.560872,0.5609
R_5Lzi65grW1ORDhG,-0.5319,-1,human,-0.32163,0.6047
R_5zknr5gZtcDv0qv,-0.3563,-1,human,-0.245048,0.6878
R_5v7HafFlE2PKEha,-1.0,-1,human,-0.63718,0.6372
R_3yHZ2nBQECGzwu5,-1.0,-1,human,-0.661891,0.6619
R_6zv9YzbxYNHSyDT,-1.0,-1,human,-0.657326,0.6573
R_7zY2Vvfqm5IAMSZ,-1.0,-1,human,-0.548848,0.5488
R_1mRi3Jov76dcLPt,-0.9164,-1,human,-0.594524,0.6488
R_7GwEsqSDeOnqMON,-1.0,-1,human,-0.608632,0.6086
R_39YQi5kzWMd7Y4h,-0.9415,-1,human,-0.545927,0.5798
R_6sHfndIe0qDZJn3,-1.0,-1,human,-0.633496,0.6335
R_1SApzZfEUp51HvX,-1.0,-1,human,-0.572066,0.5721
R_5npxPzjinPgAknq,-0.8784,-1,human,-0.58139,0.6619
R_5vQ9MKlYYTXNnZD,-1.0,-1,human,-0.640063,0.6401
R_74j7hIcke40YKYS,-1.0,-1,human,-0.648906,0.6489
R_6PSiZZiNJvsRPPl,-0.8594,-1,human,-0.491926,0.5724
R_1PhFLD4MAnaz4ov,-0.9164,-1,human,-0.594524,0.6488
R_7nr4fYPnZUlRmwm,-1.0,-1,human,-0.65765,0.6576
R_5Sb7EoiAgS7M5SV,-1.0,-1,human,-0.615485,0.6155
R_14udjvlmNeQ8lqb,-1.0,-1,human,-0.536321,0.5363
R_1JKt9fMVOQVSABk,-1.0,-1,human,-0.658925,0.6589
R_3PBFDwliQHPQBwd,-1.0,-1,human,-0.639571,0.6396
R_5fxwK2RZ996ta1j,-1.0,-1,human,-0.623982,0.624
R_3lxdmnR2wiFr7ca,-1.0,-1,human,-0.659689,0.6597
R_3mDjqFDG50aYBRD,-1.0,-1,human,-0.624174,0.6242
R_1vx1AsP7jA8MCdj,-0.8047,-1,human,-0.462734,0.575
R_38P0YUe1ZzhdMXW,-1.0,-1,human,-0.652675,0.6527
R_52GuQkHt1eGHbWU,-1.0,-1,human,-0.624825,0.6248
R_3pRKBnry1TByAKZ,-1.0,-1,human,-0.573944,0.5739
R_3uEQ1DBhJG6jreI,-1.0,-1,human,-0.6601,0.6601
R_1elbi3ET8B0e8vG,-1.0,-1,human,-0.571817,0.5718
R_3dH9CIJguDOt8dl,-1.0,-1,human,-0.572091,0.5721
R_6axDiKSH6zleU6S,-0.6384,-1,human,-0.395038,0.6187
R_12uZrbsVjazx2CJ,-0.7962,-1,human,-0.504708,0.6339
R_3reMT2IEZxmwzpO,-1.0,-1,human,-0.571588,0.5716
R_6r9jhBiRXaT6g0h,-1.0,-1,human,-0.66066,0.6607
R_3Li1V6sHbMHwJNf,-1.0,-1,human,-0.661891,0.6619
R_7TXdmMm1xamMF2h,-1.0,-1,human,-0.647515,0.6475
R_1fDmJIfvKGZigsY,-1.0,-1,human,-0.658925,0.6589
R_6FXrR71tXe8R4qJ,-1.0,-1,human,-0.660087,0.6601
R_5U5H6F9kbFMQBOw,-1.0,-1,human,-0.583239,0.5832
R_7jtECDcyTOUfYcN,-0.8055,-1,human,-0.464898,0.5772
R_1wzaePUu7X01CYD,-0.9164,-1,human,-0.594524,0.6488
R_1VBy08BUwuUYZvf,-0.832,-1,human,-0.482618,0.5801
R_7CxfUZ4WSIaaabO,-0.9051,-1,human,-0.517103,0.5713
R_5tfHSUwRZVIwUDL,-1.0,-1,human,-0.56923,0.5692
R_7ISQk2bwmy3rjrz,-1.0,-1,human,-0.551905,0.5519
R_1Yst8vpMwqvEAI7,-1.0,-1,human,-0.661095,0.6611
R_5MWhp4CUhnA3KO1,-1.0,-1,human,-0.657799,0.6578
R_1ZV7aFmyAtcYoHW,-0.9164,-1,human,-0.594524,0.6488
R_7ENgeq2LdXw6N6C,-0.9688,-1,human,-0.526784,0.5437
R_1CEysnRPwdMytCp,-1.0,-1,human,-0.658925,0.6589
R_6NwC4aWGRXy1YuE,-0.9164,-1,human,-0.594524,0.6488
R_6s0vfed56kCK9qy,-0.8203,-1,human,-0.424528,0.5175
R_7F6oYOEk5FNB1Hr,-1.0,-1,human,-0.590805,0.5908
R_5rVwwi5QEjQuG07,-1.0,-1,human,-0.653657,0.6537
R_6HprocaDkPT3jKX,-1.0,-1,human,-0.661232,0.6612
R_3hoNhwIeogZAWPV,-0.9164,-1,human,-0.594524,0.6488
R_3lWyUyw2zRDfcUG,-0.8604,-1,human,-0.495968,0.5765
R_15FP6HtfuqgG245,-1.0,-1,human,-0.636344,0.6363
R_3rIhvZFRvCcV6Kk,-1.0,-1,human,-0.65413,0.6541
R_32zHnIRK0gd3dYq,-1.0,-1,human,-0.652277,0.6523
R_3jx4kbabSshLdkV,-0.9164,-1,human,-0.594524,0.6488
R_7kj9HbqNGONH3Bn,-0.9164,-1,human,-0.594524,0.6488
R_1p3ZidKEs8d3oPv,-1.0,-1,human,-0.658925,0.6589
R_3obkA6TtLBA4DSx,-1.0,-1,human,-0.550126,0.5501
R_3dXSdKIIECvMw0A,-1.0,-1,human,-0.625771,0.6258
R_5imTIJA16zbfPVs,-0.9159,-1,human,-0.59032,0.6446
R_12V5axLh96BPEjF,-0.8784,-1,human,-0.58139,0.6619
R_5VGvhOkNg1096P7,-1.0,-1,human,-0.661344,0.6613
R_5mIQGTn3QGemoS5,-1.0,-1,human,-0.638372,0.6384
R_3CvvzwSx139aXhT,-1.0,-1,human,-0.657694,0.6577
R_3dgg7ITO8VpI3Xf,-1.0,-1,human,-0.622999,0.623
R_1c17v5gZvjKVCYI,-1.0,-1,human,-0.641977,0.642
R_3MiKpscgm1gzPlP,-1.0,-1,human,-0.638328,0.6383
R_3P78ckTJL7YzXoB,-1.0,-1,human,-0.661667,0.6617
R_6ndcDy7JrqsuDh7,-0.8721,-1,human,-0.548679,0.6292
R_3BxhVy0q087h5Dg,-1.0,-1,human,-0.661891,0.6619
R_5dPJqqx5z7AWqCG,-1.0,-1,human,-0.53004,0.53
R_5Yn4RHFFE6wYVMG,-0.8784,-1,human,-0.58139,0.6619
R_3NE39GohQf70qF7,-1.0,-1,human,-0.63377,0.6338
R_1dzIo6D6LCJOGPY,-0.9003,-1,human,-0.497563,0.5526
R_6goutgldiFdFHwd,-1.0,-1,human,-0.653185,0.6532
R_5pGw7kk2zx9zzrC,-1.0,-1,human,-0.661891,0.6619
R_70HQeMzMRWo8XtX,-0.9164,-1,human,-0.594524,0.6488
R_1P6PI0NlUGCuHDQ,-1.0,-1,human,-0.633377,0.6334
R_39twJ9swfEm1skC,-0.9156,-1,human,-0.588542,0.6428
R_34oRcS9WQACZwgV,-1.0,-1,human,-0.661891,0.6619
R_10GNJE7MSRis9KF,-0.9159,-1,human,-0.59088,0.6451
R_5Oq0412oNoog3kf,-0.8322,-1,human,-0.525241,0.6312
R_3P64wHalLctif2x,-1.0,-1,human,-0.656468,0.6565
R_3Fle4Kgzpda4X4z,-1.0,-1,human,-0.613845,0.6138
R_5wI5hq1SQVDwKzf,-0.9064,-1,human,-0.52491,0.5791
R_59m2nBBdABmuEPH,-1.0,-1,human,-0.572862,0.5729
R_6D8GbsQkqNrHVsy,1.0,1,bot,0.024875,0.0249
R_1HlRt8O7QLB2Q7L,1.0,1,bot,0.024875,0.0249
R_1t557RncBWpLu01,1.0,1,bot,0.024875,0.0249
R_1Gv8VUMOfn2IcUS,-1.0,-1,human,-0.647862,0.6479
R_6kf36DWufl1ieIh,-0.8996,-1,human,-0.486043,0.5403
R_3Mk2bgBjIPuyWrL,-1.0,-1,human,-0.65571,0.6557
R_61G9eQZHET2VFPs,-0.9164,-1,human,-0.594387,0.6486
R_5D88jynjeLuI9kj,-0.9456,-1,human,-0.552165,0.5839
R_6M1neXFyBqC9qBr,-1.0,-1,human,-0.661891,0.6619
R_5rkW6M8TVPDos0D,-0.8784,-1,human,-0.58139,0.6619
R_6hzHBgHBoA8eCKl,-1.0,-1,human,-0.615856,0.6159
R_3lbSNvgsRUGRxZf,-0.9153,-1,human,-0.586378,0.6406
R_3D2HRT0GFyFomPJ,-1.0,-1,human,-0.536476,0.5365
R_5qHamKlar9RkcNP,-1.0,-1,human,-0.5941,0.5941
R_6H159cZ3CoVRhCd,-1.0,-1,human,-0.483872,0.4839
R_7EsCVYr6EIZ7IkE,-1.0,-1,human,-0.656674,0.6567
R_1fcGUsAZb5KFVZ7,-1.0,-1,human,-0.650299,0.6503
R_3Gk6X53YzgHj78K,-1.0,-1,human,-0.564469,0.5645
R_7ClTZJqmBXJT8ia,-1.0,-1,human,-0.537321,0.5373
R_3DpfdQQLvO8CUyB,-1.0,-1,human,-0.640424,0.6404
R_5C9jFYEPYBd9oSC,-1.0,-1,human,-0.658135,0.6581
R_52CkOCckMY0XyP7,-0.945,-1,human,-0.546133,0.5779
R_7jpty9enxs46xd8,-0.8784,-1,human,-0.58139,0.6619
R_338p3CdI0mQOAj1,-1.0,-1,human,-0.661281,0.6613
R_6BzgWqAvQxirgGE,-1.0,-1,human,-0.524792,0.5248
R_32W0Tibp3eQZrg7,-1.0,-1,human,-0.645924,0.6459
R_7UTfouzoMbrT4EV,-1.0,-1,human,-0.658925,0.6589
R_33MNvuEKCII7raN,-1.0,-1,human,-0.655094,0.6551
